Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7umZiitjVsEjMQ6HNddpUI,"2P5sC9cVZDToPxyomzF1UH","Love Is Only a Feeling","Love Is Only a Feeling","Joey Bada$$",2017-07-06,152041,82,spotify:user:calv2ncarter,2024-01-04T00:47:17Z,"conscious hip hop,hip hop,rap",0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,4
6Nle9hKrkL1wQpwNfEkxjh,"2h93pZq0e7k5yf4dywlkpM","Chanel","Chanel","Frank Ocean",2017-03-10,210285,80,spotify:user:calv2ncarter,2024-01-04T00:47:57Z,"lgbtq+ hip hop,neo soul",0.776,0.503,0,-5.732,0,0.237,0.874,0,0.112,0.473,110.134,4
1nXZnTALNXiPlvXotqHm66,"4V8LLVI7PbaPR0K2TGSxFF","A BOY IS A GUN*","IGOR","Tyler, The Creator",2019-05-17,210253,74,spotify:user:calv2ncarter,2024-01-04T00:48:24Z,"hip hop,rap",0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,4
4AFsRbaLKRWo3dDtjDFA2V,"73sIBHcqh3Z3NyqHKZ7FOL","Me and Your Mama","Awaken, My Love!","Childish Gambino",2016-12-02,379226,83,spotify:user:calv2ncarter,2024-01-04T00:49:02Z,"atl hip hop,hip hop,rap",0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,3
4iZ4pt7kvcaH6Yo8UoZ4s2,"7tYKF4w9nC0nq9CsPZTHyP","Snooze","SOS","SZA",2022-12-09,201800,94,spotify:user:calv2ncarter,2024-01-04T00:44:04Z,"pop,r&b,rap",0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
6luBKkFUt5wTwz7hpLhp12,"6icQOAFXDZKsumw3YXyusw","drive ME crazy!","Let’s Start Here.","Lil Yachty",2023-01-27,229804,78,spotify:user:calv2ncarter,2024-01-04T00:49:03Z,"atl hip hop,melodic rap,rap,trap",0.492,0.807,10,-3.677,0,0.0854,0.205,0.00275,0.384,0.477,107.087,4
0jBmIDMdIOOct8T62qBeRh,"2WoVwexZuODvclzULjPQtm","Jonathan L. Seagull","Lahai","Sampha",2023-10-20,274599,55,spotify:user:calv2ncarter,2024-01-04T00:52:02Z,"alternative r&b,indie soul",0.62,0.307,11,-11.929,1,0.0288,0.75,0.00269,0.0845,0.133,99.97,4
5rmcjZTrE9JR1YrbNZDFNW,"6l3HvQ5sa6mXTsMTB19rO5","She's Mine Pt. 2","4 Your Eyez Only","J. Cole",2016-12-09,278920,71,spotify:user:calv2ncarter,2024-01-04T00:49:07Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.486,0.194,2,-15.265,1,0.0712,0.798,0.00624,0.114,0.048,70.031,4
6fkL9CjWmjeV6vfDxTp9OZ,"4frXpPxQQZwbCu3eTGnZEw,2YZyLoL8N0Wb9xBt1NhZWg","Walk On By","Drunk","Thundercat,Kendrick Lamar",2017-02-24,199136,67,spotify:user:calv2ncarter,2024-01-04T00:50:01Z,"afrofuturism,escape room,indie soul,conscious hip hop,hip hop,rap,west coast rap",0.825,0.302,8,-11.651,1,0.282,0.204,0,0.0762,0.747,94.956,4
25GlFJq5QNAXyVgJvCZ4Mf,"3jK9MiCrA42lLAdMGUZpwa","Heart Don't Stand a Chance","Malibu","Anderson .Paak",2016-01-15,312360,60,spotify:user:calv2ncarter,2024-01-04T00:50:13Z,"escape room,hip hop,indie soul,neo soul",0.685,0.545,7,-6.189,1,0.061,0.173,0.0000144,0.237,0.506,94.061,4
3xVZYkcuWalGudeKl861wb,"0du5cEVh5yTK9QJze8zA0C,3jK9MiCrA42lLAdMGUZpwa,6PvvGcCY2XtUcSRld1Wilr","Smokin Out The Window","An Evening With Silk Sonic","Bruno Mars,Anderson .Paak,Silk Sonic",2021-11-11,197442,78,spotify:user:calv2ncarter,2024-01-04T00:50:28Z,"dance pop,pop,escape room,hip hop,indie soul,neo soul",0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,4
7c3SbTuufigBWURcICnAWy,"3jK9MiCrA42lLAdMGUZpwa,2YZyLoL8N0Wb9xBt1NhZWg","Tints (feat. Kendrick Lamar)","Oxnard","Anderson .Paak,Kendrick Lamar",2018-11-16,268400,59,spotify:user:calv2ncarter,2024-01-04T00:50:48Z,"escape room,hip hop,indie soul,neo soul,conscious hip hop,rap,west coast rap",0.805,0.833,1,-6.73,0,0.12,0.0859,0,0.0578,0.703,109.076,4
2SLwbpExuoBDZBpjfefCtV,"1Xyo4u8uXC1ZmMpatF05PJ","Out of Time","Dawn FM","The Weeknd",2022-01-06,214193,80,spotify:user:calv2ncarter,2024-01-04T00:51:42Z,"canadian contemporary r&b,canadian pop,pop",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
6zyXhzPJg7dCGuC5ToIxqN,"3jK9MiCrA42lLAdMGUZpwa","Silicon Valley","Malibu","Anderson .Paak",2016-01-15,244840,46,spotify:user:calv2ncarter,2024-01-04T00:50:40Z,"escape room,hip hop,indie soul,neo soul",0.545,0.451,3,-9.166,0,0.194,0.302,0,0.382,0.502,115.21,4
74QKZtja1eXqpVg0fS3A2u,"2WoVwexZuODvclzULjPQtm","Inclination Compass (Tenderness)","Lahai","Sampha",2023-10-20,188166,55,spotify:user:calv2ncarter,2024-01-04T00:52:07Z,"alternative r&b,indie soul",0.526,0.213,8,-12.993,0,0.0873,0.888,0.000863,0.0849,0.269,81.3,4
1fOkmYW3ZFkkjIdOZSf596,"2h93pZq0e7k5yf4dywlkpM,74V3dE1a51skRkdII8y2C6","Pink Matter","channel ORANGE","Frank Ocean,André 3000",2012-07-10,268813,80,spotify:user:calv2ncarter,2024-01-04T00:55:07Z,"lgbtq+ hip hop,neo soul,atl hip hop,dirty south rap,hip hop,southern hip hop",0.392,0.233,11,-11.012,0,0.0587,0.951,0.000322,0.106,0.494,176.569,3
4S7YHmlWwfwArgd8LfSPud,"13ubrt8QOOCPljQ2FL1Kca","L$D","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,238306,74,spotify:user:calv2ncarter,2024-01-04T00:52:49Z,"east coast hip hop,hip hop,rap,trap",0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
6qBFSepqLCuh5tehehc1bd,"4fxd5Ee7UefO4CUXgwJ7IP","Like I Want You","TAKE TIME","Giveon",2020-03-27,260776,79,spotify:user:calv2ncarter,2024-01-04T00:56:48Z,"r&b",0.678,0.355,10,-7.757,0,0.0627,0.759,0.0000706,0.114,0.438,119.772,3
6t90Z9XkdsHD8xMxro6KRP,"5pKCCKE2ajJHZ9KAiaK11H,7tYKF4w9nC0nq9CsPZTHyP","Consideration","ANTI (Deluxe)","Rihanna,SZA",2016-01-28,161066,75,spotify:user:calv2ncarter,2024-01-04T00:54:51Z,"barbadian pop,pop,urban contemporary,r&b,rap",0.883,0.584,7,-2.102,0,0.0465,0.0392,0.00000439,0.0869,0.784,144.975,4
3LBM25IgxI9y549SiYxtSi,"4fxd5Ee7UefO4CUXgwJ7IP","Stuck On You","When It's All Said And Done... Take Time","Giveon",2021-03-12,205205,74,spotify:user:calv2ncarter,2024-01-04T00:56:57Z,"r&b",0.599,0.463,7,-7.449,1,0.0472,0.162,0.0000664,0.141,0.141,158.053,3
3xKsf9qdS1CyvXSMEid6g8,"2h93pZq0e7k5yf4dywlkpM","Pink + White","Blonde","Frank Ocean",2016-08-20,184516,92,spotify:user:calv2ncarter,2024-01-04T00:56:11Z,"lgbtq+ hip hop,neo soul",0.545,0.545,9,-7.362,1,0.107,0.667,0.0000548,0.417,0.549,159.94,3
7DfFc7a6Rwfi3YQMRbDMau,"2h93pZq0e7k5yf4dywlkpM","Thinkin Bout You","channel ORANGE","Frank Ocean",2012-07-10,200746,88,spotify:user:calv2ncarter,2024-02-05T08:27:57Z,"lgbtq+ hip hop,neo soul",0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,4
